99.3402 	DATA 	Mouse:  Left button up, pos=(1292,280)
99.8886 	DATA 	Mouse: Left button down, pos=(1297,417)
99.9885 	DATA 	Mouse:  Left button up, pos=(1297,417)
100.6383 	DATA 	Mouse: Left button down, pos=(1300,277)
100.6414 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
100.6414 	DATA 	RatingScale unnamed RatingScale: rating RT=1.386
100.6414 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.636), ('       3:\nmoderately', 1.386)]
100.6541 	DATA 	Question Number: 30 , Response:        3:
moderately
100.7378 	DATA 	Mouse:  Left button up, pos=(1301,277)
101.2051 	DATA 	Mouse: Left button down, pos=(1298,427)
101.2876 	DATA 	Mouse:  Left button up, pos=(1298,427)
101.7556 	DATA 	Mouse: Left button down, pos=(1291,263)
101.7585 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
101.7585 	DATA 	RatingScale unnamed RatingScale: rating RT=1.072
101.7585 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.521), ('       3:\nmoderately', 1.072)]
101.7719 	DATA 	Question Number: 23 , Response:        3:
moderately
101.8392 	DATA 	Mouse:  Left button up, pos=(1291,263)
102.2414 	DATA 	Mouse: Left button down, pos=(1287,431)
102.3562 	DATA 	Mouse:  Left button up, pos=(1287,431)
102.8553 	DATA 	Mouse: Left button down, pos=(1277,266)
102.8585 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
102.8585 	DATA 	RatingScale unnamed RatingScale: rating RT=1.053
102.8585 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.436), ('       3:\nmoderately', 1.053)]
102.8721 	DATA 	Question Number: 27 , Response:        3:
moderately
102.9727 	DATA 	Mouse:  Left button up, pos=(1277,270)
103.2890 	DATA 	Mouse: Left button down, pos=(1291,396)
103.3898 	DATA 	Mouse:  Left button up, pos=(1291,396)
103.6933 	DATA 	Mouse: Left button down, pos=(1282,243)
103.6937 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
103.6937 	DATA 	RatingScale unnamed RatingScale: rating RT=0.793
103.6937 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.391), ('       3:\nmoderately', 0.793)]
103.7065 	DATA 	Question Number: 11 , Response:        3:
moderately
103.8393 	DATA 	Mouse:  Left button up, pos=(1282,243)
104.3057 	DATA 	Mouse: Left button down, pos=(1277,420)
104.3894 	DATA 	Mouse:  Left button up, pos=(1277,419)
104.7066 	DATA 	Mouse: Left button down, pos=(1282,299)
104.7097 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
104.7097 	DATA 	RatingScale unnamed RatingScale: rating RT=0.973
104.7097 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.572), ('       3:\nmoderately', 0.973)]
104.7224 	DATA 	Question Number: 25 , Response:        3:
moderately
104.8070 	DATA 	Mouse:  Left button up, pos=(1282,299)
105.2721 	DATA 	Mouse: Left button down, pos=(1294,414)
105.3725 	DATA 	Mouse:  Left button up, pos=(1294,410)
105.6561 	DATA 	Mouse: Left button down, pos=(1304,253)
105.6594 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
105.6594 	DATA 	RatingScale unnamed RatingScale: rating RT=0.908
105.6594 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 0.524), ('       3:\nmoderately', 0.908)]
105.6720 	DATA 	Question Number: 5 , Response:        3:
moderately
105.7722 	DATA 	Mouse:  Left button up, pos=(1304,256)
106.0564 	DATA 	Mouse: Left button down, pos=(1281,428)
106.1556 	DATA 	Mouse:  Left button up, pos=(1281,428)
106.4723 	DATA 	Mouse: Left button down, pos=(1282,263)
106.4751 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
106.4751 	DATA 	RatingScale unnamed RatingScale: rating RT=0.775
